MaskID,long,lat,imageLat,imageLong,imageYear,imageMonth,panoid,dist,ht_ndx_c
0,-79.91519833,37.31322,37.31319695,-79.91522755,2019,6,oqRXeBSRhHl1auE3uD2cYA,3.639456265,27.8461705
1,-79.91516667,37.31328667,37.31327808,-79.9151828,2019,6,fD5xixHljTQUyHDOsu73IA,1.716643715,27.70641282
2,-79.91513,37.31335667,37.31336,-79.91513788,2019,6,xHzOiGUa27KOrlaK9mZnpQ,0.788900859,27.70641282
3,-79.91509,37.31342167,37.31345452,-79.91510517,2019,6,3X3leIpqSM6EQtslC5y70Q,3.890935047,27.70033078
4,-79.91504833,37.313485,37.31352968,-79.91504829,2019,6,0O0yUkmjIlSrGo-ad89axA,4.967930037,27.70033078
6,-79.91494,37.313605,37.31360207,-79.91497988,2019,6,4smzENxDAdJ-idbGUZR3IQ,3.541423142,26.86916667
7,-79.91488167,37.31366167,37.31367842,-79.91490011,2019,6,6dXs8d6a2k6fXfxNBDwvkQ,2.475265055,26.87177778
8,-79.91482,37.31371667,37.31375348,-79.91481385,2019,6,KHOSmqshElXE6_gI1kPf6Q,4.129417139,26.87177778
9,-79.91475,37.31377167,37.31382117,-79.91473006,2019,6,ApadFftiW172ELaEzGSg9g,5.779310922,26.87961111
11,-79.91453,37.31394167,37.3139338,-79.91454319,2019,6,rd-e0KybrJt9mGaYejlBaw,1.458521591,26.77222222
12,-79.91445167,37.314,37.31401718,-79.9144823,2019,6,LGN1ESW4YabtoAbysmmOqg,3.314251756,26.77222222
14,-79.9143,37.31412,37.3140984,-79.91433976,2019,6,NaQAFm_0oa20HsJzjkbfoA,4.258153655,26.67005556
15,-79.914225,37.31418333,37.31416498,-79.91426101,2019,6,mXSVb7Fb8XybOBdkrOBylw,3.782430982,26.6805
16,-79.914155,37.31424833,37.31423296,-79.91417697,2019,6,d_kBC1lhE6RhVtoAo55bxw,2.587646814,26.6805
17,-79.91408333,37.31431667,37.3142997,-79.91409156,2019,6,s7AW8-LY11rhnP7TYqqIvg,2.023012317,26.70138889
18,-79.914005,37.31438667,37.31436713,-79.91400488,2019,6,wnvYgseexUJ-OzW5FBGI0w,2.172852368,26.70138889
19,-79.91392167,37.31445167,37.31443395,-79.91391861,2019,6,#NAME?,1.988469344,26.80094444
20,-79.913845,37.31452167,37.31449973,-79.91383235,2019,6,8bo646v77smRYR4q3tlONg,2.684080661,26.80094444
21,-79.91376167,37.31458833,37.31456527,-79.91374626,2019,6,YEId9AmEW5uZmHghaVJ1JQ,2.903406135,26.78527778
22,-79.91368333,37.31465833,37.3146297,-79.91366316,2019,6,2s8S1xDPZsJRHH5NS78TCQ,3.648901432,26.78527778
23,-79.91359167,37.31473,37.31469118,-79.91358612,2019,6,QGe5ZxbxgCZii_iZDQ6Lsw,4.344521977,26.78527778
24,-79.91349167,37.314805,37.31481452,-79.91343094,2019,6,ijDOHX9f28UQwRSA72FtVw,5.474118162,26.78527778
25,-79.91339,37.31488,37.314886,-79.91334434,2019,6,3_9f_Gj9GCwLp30oq7NasQ,4.093052396,26.67266667
26,-79.91328833,37.31495333,37.31495537,-79.91325953,2019,6,X83QUl_jjt5pAh8cKxhXaA,2.557370486,26.67266667
27,-79.913195,37.315025,37.31502119,-79.91317856,2019,6,sibrxUnU9mcMGA2UW_eYxw,1.514380416,26.67005556
28,-79.913105,37.315095,37.31508621,-79.91309853,2019,6,O1tTgPp5YroVc_x6UWXQ_A,1.13287012,26.67005556
29,-79.913015,37.31516,37.31515101,-79.91301885,2019,6,ydkV_9DvZVTROAkZznAlug,1.056183485,26.78266667
30,-79.91292333,37.31522,37.31521354,-79.91293814,2019,6,XVYD1WNVlp6DVN7XdTRXWA,1.493419018,26.78266667
31,-79.91283333,37.31527333,37.31527166,-79.91285111,2019,6,otxpKpJUfzt6k8-O0jGmpA,1.582946229,26.79311111
32,-79.91274167,37.315315,37.3153231,-79.91275596,2019,6,dJhoBHCPiM4qNI_Y5_5x1g,1.551726091,26.79311111
33,-79.91265333,37.31535,37.31536692,-79.91266235,2019,6,cyyHusgwJtHrOu-HWWeZyA,2.043431815,26.80877778
34,-79.91257167,37.31538,37.31541033,-79.91256687,2019,6,6R0nLzjCw4Fx02lSX8YTNg,3.399726686,26.80877778
